Scientific.name,Common.name,Iconic.taxon.name,Taxon #,Place.guess,Latitude,Longitude
Flavoparmelia caperata,common greenshield lichen,Fungi,117943,"Winter Harbor, ME, USA",44.38135833,-68.07020556
Lysimachia borealis,starflower,Plantae,204174,"Winter Harbor, ME, USA",44.38097778,-68.07051111
Maianthemum canadense,Canada mayflower,Plantae,67748,"Winter Harbor, ME, USA",44.38098056,-68.07077778
Harrya chromapes,Chrome-footed Bolete,Fungi,495790,"Winter Harbor, ME, USA",44.38052778,-68.07118333
Monotropa uniflora,Indian pipe,Plantae,49477,"Winter Harbor, ME, USA",44.38088333,-68.07151111
Osmundastrum cinnamomeum,cinnamon fern,Plantae,204165,"Hancock, Maine, United States",44.38147222,-68.07155556
Phaeolus schweinitzii,Dyer's Polypore,Fungi,118084,"Winter Harbor, ME, USA",44.38215556,-68.07247222
Littorina littorea,Common Periwinkle,Mollusca,81606,"Winter Harbor, ME, USA",44.38250278,-68.07277778
Dryocampa rubicunda,Rosy Maple Moth,Insecta,48094,"Hancock, Maine, United States",44.38130833,-68.06510833
Pangrapta decoralis,Decorated Owlet,Insecta,226889,"Winter Harbor, ME, USA",44.38130833,-68.06510833
Sphinx poecila,Northern Apple Sphinx,Insecta,231396,"Winter Harbor, ME, USA",44.38130556,-68.06513333
Digrammia continuata,Curve-lined Angle,Insecta,218436,"Winter Harbor, ME, USA",44.38130556,-68.06513333
Peridea ferruginea,Chocolate Prominent,Insecta,227466,"Hancock, Maine, United States",44.38129722,-68.06517778
Dryocampa rubicunda,Rosy Maple Moth,Insecta,48094,"Hancock, Maine, United States",44.38138333,-68.06524722
Panthea acronyctoides,Black Zigzag Moth,Insecta,176096,"Hancock, Maine, United States",44.381375,-68.0652
Parallelia bistriaris,Maple Looper Moth,Insecta,118531,"Winter Harbor, ME, USA",44.33443001,-68.06106509
Harrisimemna trisignata,Harris' Three-Spot,Insecta,220974,"Winter Harbor, ME, USA",44.38130556,-68.0652
Leuconycta diphteroides,Green Leuconycta Moth,Insecta,205235,"Winter Harbor, ME, USA",44.38127778,-68.06523889
Oreta rosea,Rose Hooktip,Insecta,121534,"Hancock, Maine, United States",44.38118333,-68.06507222
Acronicta vulpina,Vulpina Dagger,Insecta,212459,"Winter Harbor, ME, USA",44.38133889,-68.06517778
Bombus ternarius,Tricolored Bumble Bee,Insecta,127905,"Winter Harbor, ME, USA",44.38057222,-68.06279722
Sphinx kalmiae,Laurel Sphinx,Insecta,117452,Schoodic Woods Campground Amphitheater parking lot,44.38133572,-68.06517631
Diachrysia aereoides,Dark-spotted Looper Moth,Insecta,218297,Schoodic Woods Campground Amphitheater parking lot,44.38136667,-68.06513333
Ctenucha virginica,Virginia Ctenucha Moth,Insecta,119013,"Frazer Point Picnic Area, Acadia National Park, ME",44.374808,-68.074975
Callopistria cordata,Silver-spotted Fern Moth,Insecta,215774,Schoodic Woods Campground Amphitheater parking lot,44.38134722,-68.06507778
Caripeta divisata,Gray Spruce Looper Moth,Insecta,205213,Schoodic Woods Campground Amphitheater parking lot,44.38138611,-68.06509444
Acronicta fallax,Green Marvel,Insecta,479512,Schoodic Woods Campground Amphitheater parking lot,44.38134722,-68.06509444
Sitochroa palealis,Carrot Seed Moth,Insecta,62424,"Acadia National Park, Winter Harbor, ME, US",44.33500721,-68.05185277
Autographa precationis,Common Looper Moth,Insecta,142990,"Frazer Point Picnic Area, Acadia National Park, ME",44.374808,-68.074975
